,Unnamed: 0,user_id,start_at,end_at,routine
79,79,P3029,23:45:00,00:00:00,STUDY
0,0,P3030,00:00:00,00:15:00,INDOOR
1,1,P3030,00:15:00,00:30:00,INDOOR
2,2,P3030,00:30:00,00:45:00,INDOOR
3,3,P3030,00:45:00,01:00:00,INDOOR
4,4,P3030,01:00:00,01:15:00,INDOOR
5,5,P3030,01:15:00,01:30:00,INDOOR
6,6,P3030,01:30:00,01:45:00,SLEEP
7,7,P3030,01:45:00,02:00:00,SLEEP
8,8,P3030,02:00:00,02:15:00,SLEEP
9,9,P3030,02:15:00,02:30:00,SLEEP
10,10,P3030,02:30:00,02:45:00,SLEEP
11,11,P3030,02:45:00,03:00:00,SLEEP
12,12,P3030,03:00:00,03:15:00,SLEEP
13,13,P3030,03:15:00,03:30:00,SLEEP
14,14,P3030,03:30:00,03:45:00,SLEEP
15,15,P3030,03:45:00,04:00:00,SLEEP
16,16,P3030,04:00:00,04:15:00,SLEEP
17,17,P3030,04:15:00,04:30:00,SLEEP
18,18,P3030,04:30:00,04:45:00,SLEEP
19,19,P3030,04:45:00,05:00:00,SLEEP
20,20,P3030,05:00:00,05:15:00,SLEEP
21,21,P3030,05:15:00,05:30:00,SLEEP
22,22,P3030,05:30:00,05:45:00,SLEEP
23,23,P3030,05:45:00,06:00:00,SLEEP
24,24,P3030,06:00:00,06:15:00,SLEEP
25,25,P3030,06:15:00,06:30:00,SLEEP
26,26,P3030,06:30:00,06:45:00,SLEEP
27,27,P3030,06:45:00,07:00:00,SLEEP
28,28,P3030,07:00:00,07:15:00,SLEEP
29,29,P3030,07:15:00,07:30:00,SLEEP
30,30,P3030,07:30:00,07:45:00,SLEEP
31,31,P3030,07:45:00,08:00:00,INDOOR
32,32,P3030,08:00:00,08:15:00,INDOOR
33,33,P3030,08:15:00,08:30:00,SLEEP
34,34,P3030,08:30:00,08:45:00,INDOOR
35,35,P3030,08:45:00,09:00:00,INDOOR
36,36,P3030,09:00:00,09:15:00,INDOOR
37,37,P3030,09:15:00,09:30:00,INDOOR
38,38,P3030,09:30:00,09:45:00,CLASS
39,39,P3030,09:45:00,10:00:00,INDOOR
40,40,P3030,10:00:00,10:15:00,CLASS
41,41,P3030,10:15:00,10:30:00,INDOOR
42,42,P3030,10:30:00,10:45:00,CLASS
43,43,P3030,10:45:00,11:00:00,CLASS
44,44,P3030,11:00:00,11:15:00,CLASS
45,45,P3030,11:15:00,11:30:00,CLASS
46,46,P3030,11:30:00,11:45:00,CLASS
47,47,P3030,11:45:00,12:00:00,CLASS
48,48,P3030,12:00:00,12:15:00,INDOOR
49,49,P3030,12:15:00,12:30:00,INDOOR
50,50,P3030,12:30:00,12:45:00,INDOOR
51,51,P3030,12:45:00,13:00:00,CLASS
52,52,P3030,13:00:00,13:15:00,INDOOR
53,53,P3030,13:15:00,13:30:00,INDOOR
54,54,P3030,13:30:00,13:45:00,CLASS
55,55,P3030,13:45:00,14:00:00,CLASS
56,56,P3030,14:00:00,14:15:00,CLASS
57,57,P3030,14:15:00,14:30:00,CLASS
58,58,P3030,14:30:00,14:45:00,CLASS
59,59,P3030,14:45:00,15:00:00,CLASS
60,60,P3030,15:00:00,15:15:00,CLASS
61,61,P3030,15:15:00,15:30:00,CLASS
62,62,P3030,15:30:00,15:45:00,CLASS
63,63,P3030,15:45:00,16:00:00,CLASS
64,64,P3030,16:00:00,16:15:00,CLASS
65,65,P3030,16:15:00,16:30:00,CLASS
66,66,P3030,16:30:00,16:45:00,CLASS
67,67,P3030,16:45:00,17:00:00,CLASS
68,68,P3030,17:00:00,17:15:00,CLASS
69,69,P3030,17:15:00,17:30:00,CLASS
70,70,P3030,17:30:00,17:45:00,CLASS
71,71,P3030,17:45:00,18:00:00,CLASS
72,72,P3030,18:00:00,18:15:00,INDOOR
73,73,P3030,18:15:00,18:30:00,CLASS
74,74,P3030,18:30:00,18:45:00,INDOOR
75,75,P3030,18:45:00,19:00:00,CLASS
76,76,P3030,19:00:00,19:15:00,CLASS
77,77,P3030,19:15:00,19:30:00,CLASS
78,78,P3030,19:30:00,19:45:00,CLASS
79,79,P3030,19:45:00,20:00:00,CLASS
80,80,P3030,20:00:00,20:15:00,CLASS
81,81,P3030,20:15:00,20:30:00,CLASS
82,82,P3030,20:30:00,20:45:00,CLASS
83,83,P3030,20:45:00,21:00:00,EXERCISE
84,84,P3030,21:00:00,21:15:00,CLASS
85,85,P3030,21:15:00,21:30:00,CLASS
86,86,P3030,21:30:00,21:45:00,EXERCISE
87,87,P3030,21:45:00,22:00:00,EXERCISE
88,88,P3030,22:00:00,22:15:00,INDOOR
89,89,P3030,22:15:00,22:30:00,CLASS
90,90,P3030,22:30:00,22:45:00,INDOOR
91,91,P3030,22:45:00,23:00:00,INDOOR
92,92,P3030,23:00:00,23:15:00,INDOOR
93,93,P3030,23:15:00,23:30:00,INDOOR
94,94,P3030,23:30:00,23:45:00,INDOOR
